"Model","residaul","sigma","AIC","BIC","AICc","Name_length"
"out  ~  1+ in1",140488.544469508,116.223584235764,6932.68588426917,6949.36432719914,6932.77009479549,14
"out  ~  1+ in2",153758.401276411,119.896155977611,6954.01865205681,6970.69709498678,6954.10286258312,14
"out  ~  1+ in3",108066.351987219,99.2955655791845,6783.25334755328,6799.93179048325,6783.3375580796,14
"out  ~  1+ in1 * in2",139180.7721342,115.99192781235,6925.39751845038,6950.39002557576,6925.57510830238,20
"out  ~  1+ in1 * in3",107164.078020282,98.0891304758964,6784.74150374951,6809.7340108749,6784.91909360152,20
"out  ~  1+ in1 + in2",139665.66783421,116.031811025325,6925.45309892831,6946.29068138275,6925.57968120679,20
"out  ~  1+ in1 + in3",107596.06309172,98.1947122276901,6775.17178675382,6796.00936920827,6775.29836903231,20
"out  ~  1+ in2 * in3",107120.780090428,99.3510224415578,6780.38083120965,6805.37333833504,6780.55842106166,20
"out  ~  1+ in2 + in3",107494.407742202,99.3608385876879,6778.45473560404,6799.29231805849,6778.58131788252,20
"out  ~  1+ in1 * in2 * in3",106521.536274681,98.3241731515726,6792.04191826551,6833.61170812136,6792.51100142116,26
"out  ~  1+ in1 + in2 * in3",106662.476804817,98.232206527582,6772.225630631,6801.36883425924,6772.46291876659,26
"out  ~  1+ in1 + in2 + in3",107049.598371442,98.262008323775,6770.42070304224,6795.41321016763,6770.59829289425,26
"out  ~  1+ in2 + in1 * in3",106684.32676337,98.1647643671243,6780.06990719116,6809.21311081941,6780.30719532676,26
"out  ~  1+ in3 + in1 * in2",106734.812520296,98.252969185381,6770.93693126028,6800.08013488853,6771.17421939588,26
