Model,residaul,sigma,AIC,BIC,AICc,Name_length
out  ~  1+ in1,140488.5445,116.2235842,6932.685884,6949.364327,6932.770095,14
out  ~  1+ in2,153758.4013,119.896156,6954.018652,6970.697095,6954.102863,14
out  ~  1+ in3,108066.352,99.29556558,6783.253348,6799.93179,6783.337558,14
out  ~  1+ in4,140869.3659,114.108437,6907.811782,6924.490225,6907.895993,14
out  ~  1+ in1 * in2,139180.7721,115.9919278,6925.397518,6950.390026,6925.575108,20
out  ~  1+ in1 * in3,107164.078,98.08913048,6784.741504,6809.734011,6784.919094,20
out  ~  1+ in1 * in4,136681.963,113.0079296,6905.329328,6930.321835,6905.506918,20
out  ~  1+ in1 + in2,139665.6678,116.031811,6925.453099,6946.290681,6925.579681,20
out  ~  1+ in1 + in3,107596.0631,98.19471223,6775.171787,6796.009369,6775.298369,20
out  ~  1+ in1 + in4,135328.8525,113.071256,6901.676666,6922.514248,6901.803248,20
out  ~  1+ in2 * in3,107120.7801,99.35102244,6780.380831,6805.373338,6780.558421,20
out  ~  1+ in2 * in4,139043.8768,113.9807911,6896.979215,6921.971722,6897.156804,20
out  ~  1+ in2 + in3,107494.4077,99.36083859,6778.454736,6799.292318,6778.581318,20
out  ~  1+ in2 + in4,141289.9501,114.1238793,6902.14494,6922.982522,6902.271522,20
out  ~  1+ in3 * in4,106902.6223,99.44261733,6785.208848,6810.201355,6785.386438,20
out  ~  1+ in3 + in4,107246.8568,99.3527204,6779.067058,6799.90464,6779.19364,20
out  ~  1+ in1 * in2 * in3,106521.5363,98.32417315,6792.041918,6833.611708,6792.511001,26
out  ~  1+ in1 * in2 * in4,134894.26,112.9973924,6897.410249,6938.980039,6897.879333,26
out  ~  1+ in1 * in3 * in4,104488.4109,97.77443802,6798.183833,6839.753623,6798.652916,26
out  ~  1+ in1 + in2 * in3,106662.4768,98.23220653,6772.225631,6801.368834,6772.462919,26
out  ~  1+ in1 + in2 * in4,134222.2314,113.080225,6892.005873,6921.149076,6892.243161,26
out  ~  1+ in1 + in2 + in3,107049.5984,98.26200832,6770.420703,6795.41321,6770.598293,26
out  ~  1+ in1 + in2 + in4,135777.3872,113.1412652,6896.381926,6921.374433,6896.559516,26
out  ~  1+ in1 + in3 * in4,106423.3885,98.35312664,6777.276723,6806.419926,6777.514011,26
out  ~  1+ in1 + in3 + in4,107182.2963,98.28884417,6771.358278,6796.350785,6771.535868,26
out  ~  1+ in2 * in3 * in4,106130.1066,99.58043876,6782.694445,6824.264235,6783.163528,26
out  ~  1+ in2 + in1 * in3,106684.3268,98.16476437,6780.069907,6809.213111,6780.307195,26
out  ~  1+ in2 + in1 * in4,136973.186,113.0773741,6900.220293,6929.363497,6900.457582,26
out  ~  1+ in2 + in3 * in4,106769.3628,99.52029018,6780.498109,6809.641313,6780.735398,26
out  ~  1+ in2 + in3 + in4,106866.0643,99.42548872,6774.328668,6799.321175,6774.506258,26
out  ~  1+ in3 + in1 * in2,106734.8125,98.25296919,6770.936931,6800.080135,6771.174219,26
out  ~  1+ in3 + in1 * in4,105979.8132,97.75433536,6770.547212,6799.690416,6770.7845,26
out  ~  1+ in3 + in2 * in4,107044.235,99.52304158,6771.438211,6800.581415,6771.675499,26
out  ~  1+ in4 + in1 * in2,135498.3862,113.1499369,6896.97637,6926.119573,6897.213658,26
out  ~  1+ in4 + in1 * in3,106931.0109,98.20982248,6780.976744,6810.119947,6781.214032,26
out  ~  1+ in4 + in2 * in3,106393.0661,99.39910905,6776.140682,6805.283886,6776.377971,26
out  ~  1+ in1 * in2 * in3 * in4,104163.923,98.2989591,6819.21739,6893.735312,6820.701121,32
out  ~  1+ in1 * in3 + in2 * in4,106552.345,98.3732733,6773.48965,6810.921509,6773.872629,32
out  ~  1+ in1 * in4 + in2 * in3,105729.6618,97.81755656,6767.846335,6805.278194,6768.229314,32
out  ~  1+ in1 + in2 * in3 * in4,105566.1477,98.49327811,6774.884108,6820.587547,6775.448211,32
out  ~  1+ in1 + in2 + in3 * in4,106141.4346,98.43178196,6772.604073,6805.893732,6772.909805,32
out  ~  1+ in1 + in2 + in3 + in4,106748.8692,98.35938535,6766.625965,6795.769169,6766.863253,32
out  ~  1+ in1 + in3 * in2 + in4,106271.4829,98.3247664,6768.377859,6801.667518,6768.683592,32
out  ~  1+ in1 + in3 + in2 * in4,106840.8336,98.46027593,6763.796473,6797.086132,6764.102206,32
out  ~  1+ in2 * in1 + in4 * in3,105752.2298,98.4222885,6773.108605,6810.540463,6773.491583,32
out  ~  1+ in2 + in1 * in3 * in4,104169.702,97.86262812,6793.561178,6839.264617,6794.125281,32
out  ~  1+ in2 + in3 + in1 * in4,106087.2554,97.8495251,6766.008975,6799.298633,6766.314707,32
out  ~  1+ in2 + in4 + in1 * in3,106494.228,98.26625619,6776.310377,6809.600036,6776.61611,32
out  ~  1+ in3 + in1 * in2 * in4,105499.0403,97.99347492,6766.138068,6811.841507,6766.70217,32
out  ~  1+ in3 + in4 + in1 * in2,106339.4596,98.34687591,6767.103239,6800.392898,6767.408972,32
out  ~  1+ in4 + in2 * in1 * in3,106214.2293,98.42210941,6788.229071,6833.93251,6788.793174,32
