"Model","residaul","sigma","AIC","BIC","AICc"
"out  ~  1+ in1",140488.544469508,116.223584235764,6932.68588426917,6949.36432719914,6932.77009479549
"out  ~  1+ in2",153758.401276411,119.896155977611,6954.01865205681,6970.69709498678,6954.10286258312
"out  ~  1+ in3",108066.351987219,99.2955655791845,6783.25334755328,6799.93179048325,6783.3375580796
"out  ~  1+ in1 + in2",139665.66783421,116.031811025325,6925.45309892831,6946.29068138275,6925.57968120679
"out  ~  1+ in1 + in3",107596.06309172,98.1947122276901,6775.17178675382,6796.00936920827,6775.29836903231
"out  ~  1+ in2 + in1",139665.66783421,116.031811025326,6925.45309892831,6946.29068138275,6925.57968120679
"out  ~  1+ in2 + in3",107494.407742202,99.3608385876879,6778.45473560404,6799.29231805849,6778.58131788252
"out  ~  1+ in3 + in1",107596.06309172,98.1947122276895,6775.17178675382,6796.00936920827,6775.29836903231
"out  ~  1+ in3 + in2",107494.407742203,99.3608385876907,6778.45473560405,6799.29231805849,6778.58131788253
"out  ~  1+ in1 * in2",139180.7721342,115.99192781235,6925.39751845038,6950.39002557576,6925.57510830238
"out  ~  1+ in1 * in3",107164.078020282,98.0891304758964,6784.74150374951,6809.7340108749,6784.91909360152
"out  ~  1+ in2 * in1",139180.7721342,115.991927812349,6925.39751845038,6950.39002557576,6925.57510830238
"out  ~  1+ in2 * in3",107120.780090428,99.3510224415578,6780.38083120965,6805.37333833504,6780.55842106166
"out  ~  1+ in3 * in1",107164.078020282,98.0891304758959,6784.74150374951,6809.7340108749,6784.91909360152
"out  ~  1+ in3 * in2",107119.52178977,99.345706323367,6780.38083120965,6805.37333833504,6780.55842106166
"out  ~  1+ in1 + in2 + in3",107049.598371442,98.262008323775,6770.42070304224,6795.41321016763,6770.59829289425
"out  ~  1+ in1 + in3 + in2",107049.598371442,98.262008323776,6770.42070304224,6795.41321016763,6770.59829289425
"out  ~  1+ in2 + in1 + in3",107050.85585073,98.2672664518746,6770.42070304224,6795.41321016763,6770.59829289425
"out  ~  1+ in2 + in3 + in1",107050.85585073,98.2672664518744,6770.42070304224,6795.41321016763,6770.59829289425
"out  ~  1+ in3 + in1 + in2",107049.598371442,98.2620083237762,6770.42070304224,6795.41321016763,6770.59829289425
"out  ~  1+ in3 + in2 + in1",107050.85585073,98.2672664518738,6770.42070304224,6795.41321016763,6770.59829289425
"out  ~  1+ in1 + in2 * in3",106662.476804817,98.232206527582,6772.225630631,6801.36883425924,6772.46291876659
"out  ~  1+ in1 + in3 * in2",106662.476804817,98.2322065275821,6772.225630631,6801.36883425924,6772.46291876659
"out  ~  1+ in2 + in1 * in3",106684.32676337,98.1647643671243,6780.06990719116,6809.21311081941,6780.30719532676
"out  ~  1+ in2 + in3 * in1",106686.833255734,98.175270418042,6780.06990719117,6809.21311081941,6780.30719532676
"out  ~  1+ in3 + in1 * in2",106734.812520296,98.252969185381,6770.93693126028,6800.08013488853,6771.17421939588
"out  ~  1+ in3 + in2 * in1",106736.06630189,98.2582268297837,6770.93693126028,6800.08013488852,6771.17421939588
"out  ~  1+ in1 * in2 + in3",106734.812520296,98.2529691853807,6770.93693126028,6800.08013488852,6771.17421939588
"out  ~  1+ in1 * in3 + in2",106684.32676337,98.1647643671241,6780.06990719116,6809.21311081941,6780.30719532676
"out  ~  1+ in2 * in1 + in3",106734.812520296,98.2529691853806,6770.93693126028,6800.08013488852,6771.17421939588
"out  ~  1+ in2 * in3 + in1",106662.476804817,98.2322065275822,6772.225630631,6801.36883425924,6772.46291876659
"out  ~  1+ in3 * in1 + in2",106684.32676337,98.1647643671244,6780.06990719116,6809.21311081941,6780.30719532676
"out  ~  1+ in3 * in2 + in1",106662.476804817,98.2322065275823,6772.225630631,6801.36883425924,6772.46291876659
"out  ~  1+ in1 * in2 * in3",106521.536274681,98.3241731515726,6792.04191826551,6833.61170812136,6792.51100142116
"out  ~  1+ in1 * in3 * in2",106521.53627468,98.3241731515704,6792.04191826551,6833.61170812136,6792.51100142116
"out  ~  1+ in2 * in1 * in3",106522.787550983,98.3294346061928,6792.04191826551,6833.61170812137,6792.51100142116
"out  ~  1+ in2 * in3 * in1",106521.536274681,98.3241731515726,6792.04191826551,6833.61170812136,6792.51100142116
"out  ~  1+ in3 * in1 * in2",106522.787550983,98.3294346061927,6792.04191826551,6833.61170812137,6792.51100142116
"out  ~  1+ in3 * in2 * in1",106522.787550983,98.3294346061926,6792.04191826551,6833.61170812137,6792.51100142116
