Subject,out,in1,in2,in3,in4,in5
V001,-777.4892543,50.11184259,0.369048565,-278.520735,1.771340019,0.027530187
V002,-780.3186098,94.84356478,0.357834137,-296.2064709,3.166032469,0.015488002
V003,-589.8903832,239.5404423,0.229936147,-281.1641782,3.337432344,0.050421488
V004,-667.3610796,86.05326626,0.610464074,-257.9510479,4.583758822,0.176566887
V005,-824.5972255,8.455527155,0.330513221,-282.9273507,3.727924078,0.031315339
V006,-752.7743268,38.46414929,0.068961687,-271.1042491,5.41487962,0.055365865
V007,-524.8555783,263.4684808,0.114541529,-267.9633705,3.727402591,0.085471789
V008,-862.6748823,-9.948940785,0.050302821,-285.4168463,0.800905002,0.044074347
V009,-886.8484919,-32.59156296,0.317028385,-284.7171206,-0.189523305,0.003693868
V010,-862.0671789,53.68389115,0.481970647,-304.7094692,-0.655080109,0.006743339
V011,-762.6164536,124.2397433,0.027614957,-297.0002377,0.95362909,0.05495398
V014,-824.2125565,22.39962942,0.073996869,-284.4435001,1.443161413,0.15953499
V015,-929.4700344,27.51135323,0.105685361,-320.4985993,0.763984244,0.249420518
V016,-937.6521418,85.93329675,0.32668325,-343.2071635,1.278423198,0.05379853
V017,-887.7316014,-32.48332804,0.200434391,-285.9310531,0.072234027,0.37101622
V018,-755.5596855,169.1370012,0.06320636,-309.2687737,0.670285903,0.060415609
V019,-985.8465621,107.851551,0.129512772,-367.4591046,1.824027579,0.224812967
V020,-1074.049831,-11.70190595,0.279370083,-358.7699941,3.267759423,0.066455795
V022,-729.8952071,163.0314853,0.253718689,-300.5572866,1.815527578,0.19512395
V024,-650.6104866,113.9033647,0.068190879,-260.0982522,3.870347578,0.032626648
V025,-765.28955,238.4080268,0.471795346,-336.5374612,1.218258151,0.019636697
V026,-922.9006758,21.76628741,0.129119112,-323.0236366,5.879929279,0.125198252
V027,-734.1064587,6.777451641,0.146160753,-249.4827615,1.767222278,0.040632703
V028,-566.4466114,141.2880762,0.295403971,-241.9527416,4.362233383,0.016759154
V029,-987.2589981,173.8904126,0.097289837,-385.9895132,-0.876553664,0.026152783
V030,-564.5638756,229.4333318,0.104227146,-270.4697173,4.151181045,0.1197532
V031,-629.9980489,57.00146308,0.454279392,-234.0474739,3.499003949,0.04766702
V032,-700.779572,-18.29654069,0.039436263,-231.3667792,2.595133327,0.231580092
V033,-699.9381593,180.0968348,0.042794268,-298.9791269,4.002057664,0.161713472
V034,-682.6474134,149.8361107,0.005307999,-282.2550787,3.510550827,0.045778539
V035,-614.746293,290.6873075,0.607384694,-305.4247987,2.246263743,0.128194254
V036,-836.2909358,-34.972425,0.138868212,-268.5040295,0.908300599,0.056527785
V037,-549.0219932,291.5014707,0.000109235,-283.8477605,2.750406599,0.00359454
V038,-972.0974945,157.4931095,0.120121973,-383.5644484,4.988176952,0.181957883
V039,-390.7761047,292.0876742,0.050736563,-232.9679993,3.973951312,0.008588122
V040,-686.0391887,126.1441245,0.252131124,-275.1032716,3.116813038,0.030997434
V041,-854.3257365,239.6105825,0.209666589,-368.5737323,2.663564688,0.142257196
V042,-748.5468933,208.7223648,0.031903818,-324.3330506,3.77174949,0.115817611
V043,-713.8361937,95.17462044,0.16848058,-269.0227219,-0.578489127,0.006869387
V044,-947.5253708,-23.3477578,0.943306406,-308.4430865,-0.205870496,0.017703136
V045,-646.7122143,154.5012381,0.409529331,-274.6386085,5.36833045,0.081998518
V046,-890.5749118,35.96940436,0.253520436,-310.1479909,0.671170222,0.141586962
V047,-716.6443692,253.5613161,0.506868846,-324.5022768,0.465420475,0.085145099
V048,-724.4996371,231.3230631,0.212894739,-318.769528,-0.057414049,0.057950098
V049,-604.6865726,248.0970912,0.233094308,-286.1703951,1.285654845,0.023742697
V050,-826.4163742,156.7656381,0.140535996,-333.3363799,4.045759168,0.072603742
V051,-682.5774269,244.7172744,0.04627797,-310.7999927,0.984197916,0.215185843
V052,-941.4845629,-44.91583806,0.048684312,-304.6764047,4.187552916,0.122581786
V053,-855.6838986,21.9956178,0.42235881,-295.2857342,1.518473352,0.251815036
V054,-679.0447695,99.71040268,0.213909105,-267.3276955,5.672939367,0.021667724
V055,-566.4505899,274.0986603,0.182191868,-284.2226133,2.877628355,0.048738517
V056,-1046.654502,-33.88879491,0.015045883,-339.422955,1.318564666,0.0397614
V057,-714.8391363,258.2747885,0.145397728,-326.8178441,1.586289255,0.140731002
V058,-593.0297484,134.6166996,0.006884938,-249.1598774,4.917962463,0.029512902
V059,-669.7239141,21.94358198,0.089036857,-236.9399778,4.57506694,0.134819165
V060,-885.2779684,204.1079106,0.101583678,-369.294847,4.490260941,0.066890178
V061,-905.0193592,92.23112492,0.161961871,-335.2393154,1.999688439,0.028956909
V062,-876.0603574,-21.15809835,0.54119017,-286.229023,0.647965733,0.022113327
V063,-1009.940773,60.66061145,1.132216223,-357.2721128,-0.279466444,0.013677532
V064,-774.7744793,148.9561533,0.66522143,-312.8071298,3.221674073,0.094723534
V065,-678.0198421,93.55380406,0.263276419,-264.8751837,5.548206255,0.066505425
V066,-876.3966765,131.7006073,0.239416624,-336.6519582,0.218168998,0.101416312
V067,-650.7291086,220.1339606,0.140634824,-289.7740461,-0.464879573,0.007463546
V068,-1003.087668,-22.11687112,0.010472188,-333.812752,5.049876533,0.049401703
V069,-850.0719441,41.19859396,0.246595677,-300.9451395,2.731023439,0.029519068
V070,-903.2963596,127.6846155,1.35091215,-343.9901236,-0.496084423,0.054381828
V071,-755.6383417,166.254306,0.238636287,-306.6641594,-0.623900015,0.023631605
V072,-980.6383069,126.2946509,0.416600537,-375.56382,4.574671549,0.125322986
V073,-676.20792,148.2226466,0.264487636,-280.9743942,4.468958375,0.017561448
V074,-603.9636921,295.2131736,0.020132946,-307.9163343,5.778763439,0.283363514
V075,-729.0290142,232.7292452,0.061341077,-326.8249348,4.072933795,0.460425528
V076,-699.9780256,265.1937878,0.342987019,-324.5729101,1.893500502,0.057388174
V077,-650.2377694,234.3168741,0.114801144,-300.6330901,4.222793475,0.044770119
V078,-945.2556414,3.189454367,0.20919277,-316.7299564,0.049501539,0.225676341
V079,-901.3214802,-36.30722817,0.092543117,-293.5721585,3.573745176,0.244431311
V080,-811.6048616,97.86863569,0.437181522,-309.8602895,4.726052982,0.065759246
V081,-575.9820057,264.1918523,0.514246213,-284.8065101,3.226268363,0.062421294
V082,-558.906044,215.4574533,0.274073117,-259.884185,1.123801464,0.049141126
V083,-990.3918778,-17.21481659,0.069608795,-325.7826527,0.994310454,0.010887488
V084,-796.7851608,237.0894946,0.703366838,-352.4232481,5.490775922,0.005050307
V085,-673.3719757,87.22361739,0.132505899,-259.787657,4.446049741,0.143633433
V086,-773.1413067,-33.99869681,0.810848191,-251.6401896,3.498773735,0.032233509
V087,-538.021328,189.883681,0.192545003,-248.5693417,4.193273481,0.128966434
V088,-664.28284,142.6688053,0.17636133,-273.7267206,3.465075962,0.003098004
V089,-599.2604907,270.4650984,0.066873888,-296.6737536,5.02216405,0.01465354
V090,-733.0496977,117.8726463,0.627593127,-288.8328768,3.477204198,0.082456661
V091,-1071.817408,-19.0622722,0.325847822,-352.6279568,1.071449141,0.038248393
V092,-838.7108981,72.10803787,0.117761518,-302.6699351,-0.802533221,0.033095838
V093,-716.3586032,266.5778847,0.048403855,-335.3179914,5.470062999,0.208085318
V094,-1048.199594,57.89066257,0.166864875,-374.3340867,4.0993384,0.036184028
V095,-555.9138098,124.8590666,0.245878587,-229.5517098,1.734839293,0.09022773
V096,-609.4388116,255.3065371,0.12848507,-288.7449432,-0.156295569,0.371538601
V097,-766.5974274,-22.1583301,0.10294311,-251.196517,2.003800025,0.185873475
V098,-901.3151421,-11.77603089,0.350927827,-302.6721179,4.34777785,0.076855087
V099,-1223.15025,-13.8533628,0.153981326,-404.9058302,1.234858328,0.034641391
V100,-547.6315345,152.8245579,0.342424143,-240.7657051,5.282643182,0.005120374
V101,-803.5112597,115.3940938,0.057998591,-307.2329261,0.653973187,0.012306967
V102,-852.3234357,-25.44945299,0.097121414,-278.042485,1.685170339,0.063709617
V103,-521.7519748,215.6840148,0.03841464,-245.1366359,-0.605048175,0.063456313
V104,-816.2815509,160.459836,0.556616005,-331.9755798,4.266569837,0.201168229
